record_date,stock_code,company_name,industry,subscription_end_date,expected_listing_date,offer_price_hkd,post_ipo_market_cap_hkd_100m,financial_period,revenue_rmb_100m,net_profit_rmb_100m,ipo_pe_x,ipo_ps_x,peer_companies,peer_pe_x,peer_ps_x,valuation_basis,data_quality,source_urls,notes
2026-07-02,02667,同仁堂医养,中医医疗服务,2026-07-02,2026-07-07,5.48-6.21,25.50-28.90,2025,,, , ,"医疗服务上市公司",20-35,1-3,"发行后总市值；待从招股书补录2025收入和净利润",部分核验,"https://hkipox.com/|https://www.hkexnews.hk/listedco/listconews/sehk/2026/0626/2026062600022_c.pdf","已核验市值；公开摘要显示2025净利率约4%，未录入未经逐页复核的利润额"
2026-07-02,01770,东方科脉,电子纸显示模组,2026-07-03,2026-07-08,78.64-101.11,40.25-51.75,2025,17.13,0.80,44-57,2.2-2.8,"京东方A;TCL科技;舜宇光学科技",15-35,1-3,"发行后总市值/2025收入或净利润；人民币港币换算导致区间为近似值",已核验,"https://hkipox.com/|https://images.finet.hk/attach/files/202606/5d9e6c15fd95bd58c4cc39545588ad11.pdf","研究报告按招股价中位数给出2025 PE约50倍"
2026-07-02,07656,瑞为技术,企业级视觉AI,2026-07-03,2026-07-08,21.66,66.13,2025,4.4296,-0.68149,,15.0,"商汤-W;云知声;明略科技-W",,8.8-20.9,"发行后总市值/2025收入；亏损企业PE不适用",已核验,"https://hkipox.com/|https://images.finet.hk/attach/files/202606/4ec4e24b6aa7b30fd5bb4ff852e74ec3.pdf","同业报告另列智谱、MiniMax、迅策、五一视界等高波动样本"
2026-07-02,07687,易控智驾,矿区无人驾驶,2026-07-03,2026-07-08,81.16-87.92,120.01-130.01,2025,14.35,,,7.3-7.9,"地平线机器人-W;黑芝麻智能;Mobileye",,3.5-12.7,"发行后总市值/2025收入；亏损企业PE不适用",已核验,"https://hkipox.com/|https://images.finet.hk/attach/files/202606/0975a815fae940348c0ea270c0b7191b.pdf|https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0629/2026062900136_c.pdf","研究报告按中位价计算2025 PS约7.6倍"
2026-07-02,08090,宝盖新材,工业制造,2026-07-03,2026-07-08,6.15-8.51,3.56-4.92,2025,,,,,"小型工业制造企业",8-15,0.5-1.5,"发行后总市值；财务数据待补",仅市值核验,"https://hkipox.com/","同行倍数为行业参考区间，非精确可比公司中位数"
2026-07-02,09971,基本半导体,碳化硅功率半导体,2026-07-03,2026-07-08,27.49-31.62,83.65-96.22,2025,,,,,"瀚天天成;天岳先进;斯达半导",,4-10,"发行后总市值；亏损状态及财务数据待招股书复核",部分核验,"https://hkipox.com/|https://news.hstong.com/post/content/26062907314760052","同行PS为碳化硅行业参考区间，待用同一交易日数据替换"
2026-07-02,06880,MOMENTA-W,自动驾驶软件,2026-07-03,2026-07-08,295.60,696.25,2025,,,,50.0,"地平线机器人-W;黑芝麻智能;Mobileye",,12.7|8.1|3.5,"发行后总市值/2025收入；亏损企业PE不适用",已核验,"https://hkipox.com/|https://images.finet.hk/attach/files/202606/9c8fc14f67ffa67d755d3909eeb5647b.pdf","研究报告列示MOMENTA预计2025 PS 50倍、可比公司平均PS 8.1倍"
2026-07-02,02797,齐云山食品,食品饮料,2026-07-06,2026-07-09,5.00-8.00,5.00-8.00,2025,,,,,"小型食品饮料企业",10-20,0.7-2,"发行后总市值；财务数据待补",仅市值核验,"https://hkipox.com/","同行倍数为行业参考区间"
2026-07-02,03752,珞石机器人,工业及协作机器人,2026-07-06,2026-07-09,38.00,99.46,2025,5.22,,,17.5,"凯乐士科技;极智嘉科技;创新奇智;北自科技;兰剑智能",35.2|31.0,8.8-9.8|1.8-3.0,"发行后总市值/2025收入；人民币港币换算后为近似值",已核验,"https://hkipox.com/|https://images.finet.hk/attach/files/202606/b5de49a1e90aee806853e7527e1f3aee.pdf|https://www.qlzq.com.hk/upload/20260320/20260320094702164.pdf","凯乐士、极智嘉及创新奇智亏损，PE不适用"
2026-07-02,00537,普源精电,电子测量仪器,2026-07-06,2026-07-09,45.98,100.55,2025,,,,,"鼎阳科技;优利德;是德科技",30-60,,"发行后总市值；2025财务数据及同日可比估值待补",仅市值核验,"https://hkipox.com/","A+H公司，后续应优先加入发行价相对A股价格折溢价"
